befürworten	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürwortend	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürworteten	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürworte	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürwortest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürwortetest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürwortetet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürwortet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
befürwortete	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahend	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahen	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahte	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahe	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahtest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahst	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejaht	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahten	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
bejahtet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestatteten	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestattest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestatte	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestattet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestattetet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestatten	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestattend	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestattetest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
gestattete	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimierst	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimierte	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimiertest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimieren	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimierend	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimierest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimiere	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimieret	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimierten	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimiertet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
legitimiert	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschrieb	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschreibst	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschreibest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschriebst	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschreibend	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschrieben	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschreibt	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschriebet	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschriebt	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
unterschriebest	1.8	1.1	[+1,+1,+1,+4,+1,+3,+1,+2]
