1608837349039013896	die Sanktionen wirken - nur halt nicht gegen Russland 🙃  https://t.co/1HTTpVrVGc	negative
1608823695837122570	@lawen4cer @scc94s Die Ukrainische Regierung hätte verhandeln sollen. Ganz einfach. Du legst dich nicht mit einer Weltmacht an, in dem Zustand wie die Ukraine war. So sind sie jetzt ein Spiel ball, von zwei Weltmächten. Die Infrastruktur in Europa durch die Sanktionen geschädigt und der Ami lacht/1	negative
1608806788677394432	Die #Energiewende, die #Sanktionen und die anderen Geniestreiche der #AmpelDesGrauens wirken.  #Insolvenzen	negative
1608806675045289986	@AsphaltStehen @AliCologne @JulianRoepcke Darum bin ich weder auf der einen noch der anderen Seite.. ich bin für Frieden. Und nur weil ich gegen selbstzerstörerische Sanktionen gegen Russland bin, heißt es nicht dass ich für Russland bin. Was genau da abläuft wissen wir alle nicht und wer da die Strippen zieht. Deshalb	negative
1608803244045897729	@berlinerzeitung Falsch ,Sie haben die Gaspreise explodieren lassen ,mit Ihren hirnlosen Sanktionen und übrigens sind die Preise wieder stark gefallen.	negative
1608802884367585280	@JahnTeam Der Schuß geht nach hinten los. Die Sanktionen treffen die, die sie anwenden. Wir werden uns nächstes Jahr warm anziehen müssen. Aber der Zirkus und seine Artisten der Ampelregierung, haben ja alles im Griff? Zurück Lehnen und genießen.	negative
1608801828992581633	@SigmaLS8361 @ReinhardVeser ja, das wissen wir. Und was ist aus diesen 3 baltischen Staaten nach dem Zerfall der SU geworden? Sie sind Vassalen des Westens geworden, ohne eigene Entscheidungshoheit, jetzt mit Sanktionen gegen RU und BY auch mit wirtschaftlichen Problemen am Hals.	negative
1608795979976937476	@nikitheblogger Ja, sie wirtschaften mit unserem Geld 💸, als gebe es keinen Morgen mehr. Es wird überall verteilt, aber nicht in Deutschland. Die Sanktionen werden dafür sorgen, dass es bald keine konkurrenzfähige Deutsche Wirtschaft mehr geben wird!	negative
1608793768391741440	Man kann sich über die Auswirkungen der #Sanktionen gegenüber Russland auf die Analysen eines aus seinem Wohnzimmer in Tirol zugeschalteten Uniprofessor verlassen oder man hört einfach mal beim Journalisten vor Ort rein 👇🏼  #EU #Knieschuss  https://t.co/DT3AsdvOJL	negative
1608793175497543681	@Hoellenaufsicht Und was ist zB an der aktuellen Politik so dass der freie Markt entscheiden kann. Hier werden gerade Firmen auf Grund von politischen Sanktionen in den Ruin getrieben. Das hat mit freiem Markt nicht wirklich etwas zu tun.	negative
1608790401707802627	@JeAhr711 @AlexWallasch Also auf meinem Konto ist nichts gelandet - dank der Sanktionen. Mein Geld bleibt nun in Russland. War das der Sinn der Sanktionen?	negative
1608790084031238145	💥NACH DER IMPFLÜGE 2021, NUN DIE LÜGE 2022❗️💥  Sollte Russland nicht bis zum Sommer/Herbst 2022 Pleite und die Regale leer sein❓   Die Russische Bevölkerung sollte durch die 11000 Sanktionen, starke Einschnitte spüren.  https://t.co/g4JMl7kyqj	negative
1608789566533828609	Wiederherstellung des Grundgesetzes vom 01.01.2019!  Beendigung der Corona Diktatur!  Ende der Sanktionen!  Ende der Einmischung in den Ukrainekrieg durch 🇩🇪!  Das Wohl des Volkes vor die Ideologie einer Partei stellen! #AmpelDesGrauensRuecktritt	negative
1608787952678887424	@20min Teuerungsausgleich für Bundesrat: Sauerei, das sind ja unter anderem die, welche die Inflation verursacht haben (Schulden, Gelddrucken, Mismanagement, Sanktionen)! Und eine Frechheit obendrein.	negative
1608787639049625601	@janoschdahmen Sie und ihre Grüne Partei verschulden tausende Menschenleben  durch die Energieknappheit, die sie mit ihren Sanktionen verursacht haben!!! Ausserdem ist ihre Partei für Impfpflicht ohne das diese Umfassend getestet wurde! Ich könnte nicht mehr ruhig schlafen! !!!!! Gewissen ????	negative
1608786539622043650	@BigBossSniper @YouTube Würden Sie bitte so freundlich sein und die gleichen statistischen Analysen über die Folgen der Sanktionen für Deutschland veröffentlichen? Und für die armen Länder in Afrika und Asien? Ich danke Ihnen vielmals.	negative
1608785851450028033	@FAZ_NET @jakluge @JoPennekamp Ich habe schon langsam das Gefühl, die Einzigen die unter den Russland Sanktionen leiden  sind wir und unsere Wirtschaft...	negative
1608785524977995781	@ColoPalm @YouTube Als hätte jemals jemand behauptet dass die Sanktionen sofort wirken… 🙄 54% Einbruch bei den Öleinnahmen, Wirtschaftsrückgang und Budget-Defizit sind schon was. Und es beginnt ja erst jetzt  https://t.co/02SQgBDoAr	negative
1608784920658444289	@Pflueger_Albert @JulianRoepcke Die Frage ist doch, wie könnte jetzt noch mittels Abschreckung und Androhung von Gewaltmassnahmen die weiter eskalierenden Angriffe 🇷🇺 ein Ende gesetzt werden. Sanktionen und ‚normale‘ Waffenlieferungen führten bislang nur zu noch mehr Leid und Zerstörung.	negative
1608775920290246656	Die Sanktionen wirken, leider nur hier. Die Russen haben ihre Möglichkeiten gefunden, die Sanktionen geschickt zu umgehen. Je länger der Krieg dauert, umso besser die Möglichkeiten. Aber hier 19 Grad mit Waschlappen waschen, passt doch.  https://t.co/q2EVOYY7yp	negative
1608768100786401282	@MarcoBuschmann Deindustrialisierung und Deliberalisierung sind die Kernkompetenz der 🚦  Diese wurden mit willkürlichen Regeln, destruktiven Verträgen und suizidalen Sanktionen eindrucksvoll bewiesen.  Folge: Beschleunigte Abwanderung von Leistungsträgern.  Bravo.	negative
1608766982987583499	@Umweltnews Sind es nicht die gescheiterte Energiepolitik und die Sanktionen die dazu führen?	negative
1608760117205553152	@JulianRoepcke @OlafScholz Mit einem Unterschied: d. kommen aus eigener Produktion! Übrigens: Nach d. Meldungen d. britischen Geheimdienstes sollte    RU schon längst keine Waffen nachschieben können u. d. Sanktionen brutal wirken. Widdewidde….	negative
1608758074604679169	@focusonline Es ist Krieg. Deutschland manipuliert auch Gesetze für die Sanktionen und es juckt niemanden	negative
1608756731278159872	Mache mir jetzt schon sorgen, was ich in 3 Jahren wählen soll, da ich keine Partei wähle, die absolut keinen Bums aufs Weltgeschehen gibt und sich nur mit unzureichenden Sanktionen beschäftigt um keinen zu verärgern. Keine Groko/Ampel Partei, Keine Linke. Was dann?	negative
1608756031492091904	@rainerfaus @ntvde_Politik @FRuhose die ampel braucht nichts anderes als einen sofortigen rücktritt! es gibt soviele gründe, daś der platz hier nicht ausreicht! nur soviel: seuchenpolitik, energiepolitik, wirtschaftspolitik, kriegstreiberei mit sanktionen,zerstörung von gesellschaft und demokratie!a🙊🙈🙉🦠⛽️💸⚰️☮️	negative
1608755799542890497	@n_roettgen unc diese nicht abbrechen wollen❗️ Es ist erbärmlich, dass im EU-Parlament noch jede Menge Lobbyisten sitzen und als Handbremse fungieren! Denken Sie wif wüssten das nicht? Die Sanktionen bringen nichts, solange noch die Millionen im Verborgenen hin und her geschoben werden❗️2/2	negative
1608753910998786051	@JulianRoepcke @OlafScholz Wenn man den ganzen Telegramm Accounts zur Hälfte glauben schenkt , sieht es düster aus für UA, den gehen langsam die einsatzfähigen Männer aus auch wenn sie sehr sparsam sind was das angeht 😒 und der Russe baut trotz Sanktionen tausende neue Panzer 😔	negative
1608747810748526592	@derjansinn Wer hätte nur ahnen können, dass die Sanktionen gegen Deutschland einen negativen Effekt haben.	negative
1608747097972682754	@Der_Dutschi @n_roettgen @jensstoltenberg Eben auf #NTV: #Russland kann trotz der Sanktionen noch ca. 70 Marschflugkörper/Monat bauen und wenn der Strom weg ist, kann #Ukraine eh einpacken und #Röttgen träumt noch vom Sieg.... Ein Wahnsinn, der noch weitere tausende Tote fordern wird...	negative
