
5	-2.154639175	Zwei Worte, die dieses Jahr sterben sollten: Sexting und Jeggings. Stirb, stirb, stirb
7	-1.360824742	Verdammt, Verspätung nervt.
9	-1.773195876	Igitt. Ich hasse hasse hasse es, Blut abgenommen zu bekommen.
11	-1.628865979	Blöder Regen. Blöde Laufbandhölle.
12	-0.776595745	Ich frage mich langsam, ob meinem alten Vermieter das Gebäude, in dem wir wohnten, wirklich gehörte.
14	-2.531914894	Verflucht! MJ ist tot! Ein echter Verlust.
20	-1.927835052	Verpiss dich vor dem Regen. Verpiss dich Kater.
22	-2.81443299	Ein weiterer Mistkerl im Flugzeug. Diesmal meckert er über seine Tasche. Schlampe Schlampe Schlampe
28	-2.138297872	Verdammt, Braves!  Verdammt, verdammt, verdammt!
30	-1.642105263	Ja, mein Kopf tut weh. Die Schwerkraft ist so ein verdammtes Miststück.
34	-2.294736842	schlechte Laune. :'(
35	-1.010526316	Wut ist hässlich.
42	-0.793814433	Apfelmus, Schlampe.
48	-0.183673469	Was ist das Licht am Ende des Tunnels? Der Ausgang oder ein Zug?
49	-2.268041237	Gelangweilt, verwirrt, gefrustet :|
55	-2.680851064	NEIN NEIN NEIN NEIN NEIN NEIN NEIN NEIN NEIN NEIN. RT @anonymous: Pedroia auf dem Weg nach Boston für eine mögliche Knieoperation? WTF WTF
56	-0.101010101	Mein Bruder hat gerade gefragt, ob Houston Nutt die Spielzüge für Texas vorgibt. Lauf durch die Mitte. Lauft durch die Mitte. Lauft durch die Mitte.
60	-2.494736842	schreckliche nachrichten heute abend. totales verdammtes durcheinander. fühle mich hilflos und krank.
64	-2.315789474	@anonymous J-E-T-S Suck. Lutschen! SUCK! #GoPats
65	-0.663265306	Das kam gerade rein: Der Kongress baut Fenster in seine Bauchmuskeln ein und kann nun sehen, was um ihn herum vor sich geht http://url_removed
66	-0.168421053	Wenn Sie die RM620 hinauffahren und einen dicken Mann mit einem Fahrrad sehen, könnte ich eine Mitfahrgelegenheit brauchen.
68	-1.642105263	WTF?
69	-1.721649485	Böser Weihnachtsmann BAD
70	-1.967391304	Danke, Hermine, dass du meine Woche ruiniert hast.
71	-1.103092784	Wahnsinn. Wahnsinn. Sie nennen es Wahnsinn.
73	-1.757894737	@anonymous :( Das ist furchtbar traurig :(
74	-3.042105263	ugh. mir ging es SO GUT. und seit Donnerstag bin ich ein weinendes verdammtes Baby Arsch Chaos. saugen Sie es Depression.
77	-3.510869565	Ich hasse dich, verdammt! Warum musst du die ganze Zeit eine verdammte Schlampe sein?!?
79	-2.75257732	Lorks! F1 auf Sky??!?!??   Scheiß auf Sky. Fuck fuck fuck fuck. F1 ist mein EINZIGES HOBBY.
81	-0.257731959	Der Tag der Hausarbeit hat begonnen.
82	-1.37755102	Verdammte Tippfehler :(
83	-0.765306122	Außerhalb der Umgehungsstraße ist es wirklich anders. Die Zeitung meiner Heimatstadt schreibt den Namen des ehemaligen Präsidenten &amp; der Ehefrau falsch, &amp; hat *klassige* Kommentare: http://url_removed
87	-0.25	Modelle von Modellen den ganzen Tag
94	-1.021505376	"Hey Apple - ich bin dein größter Fan, aber die Bildunterschriften in den MobileMe Galerien sind scheiße. Entweder nur 5 Wörter oder man muss auf ""&amp"" klicken, um 2 Informationen zu erhalten."
96	-0.785714286	Ich hätte nie gedacht, dass ich mal extra früh zur Arbeit kommen würde, um an einer Powerpoint zu arbeiten. #karrierefail ?
97	-2.627659574	Schlechter Bus! Stinkender Bus! Schlechter, schlechter Bus. Kein Keks!
99	-0.646464646	verrückter tag. gut verrückt nicht schlecht verrückt oder verrückt verrückt. aber trotzdem verrückt.
105	-0.021052632	Hat die Sonne einen Geruch?
108	-2.255319149	Ich habe kein Problem damit, zu verlieren, wenn es an meinen mangelnden Fähigkeiten liegt oder wenn ich überspielt werde. Aber ich hasse es, wegen technischer Schwierigkeiten zu verlieren. So wütend
109	-0.978947368	14 Uhr ist die Stunde der Unproduktivität.
110	-2.711340206	DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE DON'T CARE #royalwedding
114	-1.541666667	Verdammt, wir haben gerade den Strom verloren. Ich hasse das.
115	-3.175257732	Ich fühle mich wie eine dumme Schlampe. Der verdammte #uterusdemon hat alles nur noch schlimmer gemacht. Scheiße.
118	-0.462365591	Warum benutzen die Menschen immer noch Faxgeräte?
122	-1.947368421	"@anonymous oh vertrau mir, ich habe dieses eine Shirt, das von ""Ich mag es"" zu ""F*&amp;N&amp;* LONG HORNS DIE DIE DIE KILL KILL KILL"" wurde"
125	-0.357894737	"Das Wort ""gerecht"" ist ein kompliziertes Wort."
126	-0.821052632	"Ich fange an, einen Song namens ""Shoot Me In The Face"" zu schreiben. Hat jemand einen Text, den er gerne hinzufügen würde? Bis jetzt habe ich ""Shoot in the Face ah"""
127	-0.381443299	In meinem Posteingang befinden sich über 11.000 E-Mails. Es ist also Zeit für ein wenig Aufräumarbeit.
128	-3.0	Ich hasse das. Ich hasse das. Ich hasse das. Ich hasse das. Ich hasse das.
134	-3.474226804	DIESE JULIET SCHLAMPE IST... EINE SCHLAMPE!! EINE RIESIGE SCHLAMPE!!! #LOST #andere #emotionalterrorism #whydoialwaysfallforit
135	-1.75257732	Wtf? 8-2...?  Wie bitte?
137	-1.822916667	Twitter hat sich zu einem Monty-Python-Skit entwickelt: SPAM SPAM SPAM SPAM SPAM SPAM SPAM SPAM SPAM SPAM ...
139	-3.368421053	wütend. so wütend. so verdammt wütend.
142	-0.627659574	Der Dirby ist außer Kontrolle geraten.
147	-0.505263158	Oh @anonymous, warum müssen Sie nicht einen nativen OS X-Client für vCenter haben?
153	-1.947368421	Omg das ist ein schlimmer Fehlschuss :( #Frenchopen
155	-1.691489362	Betrunkener Fahrer verhaftet, angeklagt in Unfall, der Mount Arlington Polizeibeamten getötet | http://url_removed
157	-3.614583333	Ich hasse Leute, die Geld haben und sich für GOTT halten! FU Schlampe stell deinen verdammten Wecker und lass mich in Ruhe
158	-2.350515464	Es tut mir leid, das sagen zu müssen, aber das Klischee des hungernden Künstlers ist beschissen, dumm und ich hasse es.
159	-0.453608247	Furcht ist der Weg zur dunklen Seite. Furcht führt zu Wut. Wut führt zu Hass. Hass führt zu Leiden. - Yoda
163	-0.354166667	"lol @anonymous spaß? buch, ja, mammo, nein. die ""entwarnung"" zu bekommen ist irgendwie spaßig. aber in - - gequetscht zu werden ist nie spaßig."
165	-0.422680412	Blah blah blah, Fußball, blah blah wütende Auseinandersetzung, blah blah. Wie auch immer. Schau dir das süße Auto an!!! http://url_removed
166	-2.526315789	@anonymous @anonymous Ich bürge von ganzem Herzen für @anonymous's Bastardness. Er ist ein mit Bastard beschichteter Bastard mit Bastardfüllung.
167	-0.041237113	Ich fühle mich komisch. Komisch seltsam nicht komisch haha.
168	-1.898989899	Schießerei in Arizona: Verletztes Opfer verhaftet, Drohungen vorgeworfen - latimes.com: http://url_removed via @anonymous
169	-1.479166667	Papierkram ist noch schlimmer. RT @anonymous: Ich hasse Papierkram.
170	-3.136842105	Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla Ich hasse Joomla
171	-2.010638298	Verdammt langweilig
172	-1.968085106	@anonymous :'( :'(
174	-2.96875	"WAS ZUR HÖLLE IST MIT ""KEINE MONOPOLE"" PASSIERT?!?!! Ich bin wütend, @anonymous, sehr wütend!"
175	-1.958333333	Zigarrengeruch ist absolut ekelhaft. Ekelhaft ekelhaft ekelhaft
176	-0.9375	@anonymous Ich denke auf jeden Fall, dass es ein Fehler in den Ortungsdiensten ist - ich benutze ständig ortsbezogene Anwendungen und mein 4S stirbt viel schneller als mein 4
178	-2.402061856	Scheiße! Ich habe eine Socke verloren! Verdammte Wäsche.
179	-2.884210526	Wtf mit dat news... Wtf schlechte Nachrichten Braun ist tot ...wtf
185	-2.875	Ich hasse, hasse, hasse Blue Shield.
190	-2.926315789	hasst den Verkehr
196	-0.587628866	Ich habe nicht genug Zeit. Kann mir jemand heute etwas Zeit geben?
197	-2.608247423	Schlechte Laune schlechte Laune schlechte Laune.
